location;date;trend;day;month
Spain;2020-04-17;#2milloneslta;17;04
Spain;2020-04-17;#Flat101DS;17;04
Spain;2020-04-17;#คั่นกูEP9;17;04
Spain;2020-04-17;#CharlaViciano;17;04
Spain;2020-04-17;#VisAVisEnFOX;17;04
Spain;2020-04-17;#TheCloneWars;17;04
Spain;2020-04-17;#QuemadosUMA;17;04
Spain;2020-04-17;#JugandoConFuego;17;04
Spain;2020-04-17;#CartaMaitino;17;04
Spain;2020-04-17;#RafaRomeraInDaHouse;17;04
Spain;2020-04-17;#HuelgaTelepizzaCovid;17;04
Spain;2020-04-17;#EurovisionHomeConcerts;17;04
Spain;2020-04-17;#lovamosviendo;17;04
Spain;2020-04-17;Paraguay;17;04
Spain;2020-04-17;Mapei;17;04
Spain;2020-04-17;Príncipe Pío;17;04
Spain;2020-04-17;Fiona Apple;17;04
Spain;2020-04-17;Orozco;17;04
Spain;2020-04-17;Evaristo;17;04
Spain;2020-04-17;Pablo Alborán;17;04
Spain;2020-04-17;Lauren;17;04
Spain;2020-04-17;Sánchez y Casado;17;04
Spain;2020-04-17;Iglesias de España;17;04
Spain;2020-04-17;Paco Camino;17;04
Spain;2020-04-17;Más Madrid;17;04
